uuid,variable_type,variable_name,equipment_ID,equipment_type
35554a77-9536-4cea-8e8e-dc1d861911d4,ActFlow,2-B-1_ActFlow,2-B-1,VAV
da0ffc16-29a6-4ea8-b464-237a6b46dbbd,ActFlow,1-3-6_ActFlow,1-3-6,VAV
e8c203ac-e0e3-41ef-ba64-a982f1bdf411,ActFlow,2-3-22_ActFlow,2-3-22,VAV
fb64c9ca-f399-4bfb-bc83-5ae927655311,ActFlow,2-1-13_ActFlow,2-1-13,VAV
db575f93-838b-499f-ad6f-6385eeecd386,ActFlow,2-2-15_ActFlow,2-2-15,VAV
332bb3f8-713c-42df-82c5-fbfefc296da9,ActFlow,2-2-22_ActFlow,2-2-22,VAV
b911ccbf-16d1-4259-a4b5-8b883937647a,ActFlow,1-4-6_ActFlow,1-4-6,VAV
49532b96-ff50-4656-9924-8ea90704b1af,ActFlow,2-3-15_ActFlow,2-3-15,VAV
a84881a0-3f68-4743-92cf-9244486def0c,ActFlow,1-1-8_ActFlow,1-1-8,VAV
720d9cf5-0d02-41af-8d84-c538d6aa6727,ActFlow,2-5-19_ActFlow,2-5-19,VAV
1d3083ed-3576-49dd-9ab5-ad422baa9bfa,ActFlow,1-5-12_ActFlow,1-5-12,VAV
a5f12207-dccd-46e1-903d-c3338c3773ae,ActFlow,2-1-16_ActFlow,2-1-16,VAV
16c08160-b28f-4e81-9486-2add7281d032,ActFlow,1-5-8_ActFlow,1-5-8,VAV
85b636be-1194-4ddc-ae0b-b894d3be9b61,ActFlow,1-3-3_ActFlow,1-3-3,VAV
872370cf-ee37-4c10-92ca-047c36cfad91,ActFlow,1-2-4_ActFlow,1-2-4,VAV
60e88542-e193-4796-ad19-131060a1f78d,ActFlow,2-5-22_ActFlow,2-5-22,VAV
77aaf925-241b-47de-a665-f6fae3ec152e,ActFlow,1-1-1_ActFlow,1-1-1,VAV
8cfc0138-f1d5-4802-a169-d1785c28949d,ActFlow,2-4-15_ActFlow,2-4-15,VAV
387ad982-d9d0-4db0-a3bd-6c8ae011d3a4,ActFlow,2-2-19_ActFlow,2-2-19,VAV
3f24dfaa-ee9f-40e5-8f41-22a8324b3b81,ActFlow,1-5-1_ActFlow,1-5-1,VAV
3930e7d5-ddb8-4045-89ac-136d9df3fea7,ActFlow,1-3-9_ActFlow,1-3-9,VAV
baaf4d80-910a-4f4e-ad4a-8d450f0d1095,ActFlow,2-4-24_ActFlow,2-4-24,VAV
150cdbec-2935-44e2-b241-64b58757daf7,ActFlow,1-5-2_ActFlow,1-5-2,VAV
c662efcd-261d-4694-99fa-b6b2528c697c,ActFlow,2-4-16_ActFlow,2-4-16,VAV
c58a5272-67b5-469b-abf2-47c1ae148a81,ActFlow,1-1-2_ActFlow,1-1-2,VAV
4c7f6eba-7358-4728-ba97-0aad5aa34761,ActFlow,1-2-7_ActFlow,1-2-7,VAV
80134146-66f5-4b1d-abec-2910acdbf2f4,ActFlow,2-5-21_ActFlow,2-5-21,VAV
b5a7f4eb-b3c4-4fef-bd10-07640b2652fe,ActFlow,2-1-15_ActFlow,2-1-15,VAV
82d3753b-80b1-455e-9be8-357fc391a779,ActFlow,1-5-11_ActFlow,1-5-11,VAV
6dcb3739-c9e4-465d-bf3b-9fea2405e3d6,ActFlow,2-2-13_ActFlow,2-2-13,VAV
5c27ded5-fb34-4618-9be4-ac4a379f773f,ActFlow,2-1-27_ActFlow,2-1-27,VAV
db5dd071-4ab9-4d0b-b43a-3f0e849b5c58,ActFlow,2-3-16_ActFlow,2-3-16,VAV
7972e781-826e-4d0f-ad0c-7fa616a16e63,ActFlow,1-4-5_ActFlow,1-4-5,VAV
72849147-2b81-4607-ba4f-fd51007cab91,ActFlow,2-2-21_ActFlow,2-2-21,VAV
abb64a81-bf9c-4a73-ba1b-78695fabb698,ActFlow,2-2-16_ActFlow,2-2-16,VAV
afac90e2-04a7-4a74-bbbc-91f39e861882,ActFlow,1-3-5_ActFlow,1-3-5,VAV
d966dc4c-e0be-42be-879f-f56495846b26,ActFlow,2-3-21_ActFlow,2-3-21,VAV
27d1d30d-da3f-408b-a937-b994a00b6301,ActFlow,1-5-7_ActFlow,1-5-7,VAV
28673137-cc18-4720-bcc6-b786a3adebcf,ActFlow,2-4-21_ActFlow,2-4-21,VAV
ef906369-dc3b-4bad-9a09-c57c042551c8,ActFlow,2-1-19_ActFlow,2-1-19,VAV
21eac8a7-05d9-4d49-a43e-6f1ed7a5d78f,ActFlow,1-4-9_ActFlow,1-4-9,VAV
b37a0bd9-bfdb-4638-a6a1-1ba908a01086,ActFlow,2-5-24_ActFlow,2-5-24,VAV
cc77aa9e-72e4-46cc-a3ef-0edb51c8e44d,ActFlow,1-2-2_ActFlow,1-2-2,VAV
